Id,Cabin
1,C85
2,C123
3,E46
4,G6
5,C103
6,D56
7,A6
8,C23 C25 C27
9,B78
10,D33
11,B30
12,C52
13,B28
14,C83
15,F33
16,F G73
17,E31
18,A5
19,D10 D12
20,D26
21,C110
22,B58 B60
23,E101
24,F E69
25,D47
26,B86
27,F2
28,C2
29,E33
30,B19
31,A7
32,C49
33,F4
34,A32
35,B4
36,B80
37,A31
38,D36
39,D15
40,C93
41,C78
42,D35
43,C87
44,B77
45,E67
46,B94
47,C125
48,C99
49,C118
50,D7
51,A19
52,B49
53,D
54,C22 C26
55,C106
56,C65
57,E36
58,C54
59,B57 B59 B63 B66
60,C7
61,E34
62,C32
63,B18
64,C124
65,C91
66,E40
67,T
68,C128
69,D37
70,B35
71,E50
72,C82
73,B96 B98
74,E10
75,E44
76,A34
77,C104
78,C111
79,C92
80,E38
81,D21
82,E12
83,E63
84,A14
85,B37
86,C30
87,D20
88,B79
89,E25
90,D46
91,B73
92,C95
93,B38
94,B39
95,B22
96,C86
97,C70
98,A16
99,C101
100,C68
101,A10
102,E68
103,B41
104,A20
105,D19
106,D50
107,D9
108,A23
109,B50
110,A26
111,D48
112,E58
113,C126
114,B71
115,B51 B53 B55
116,D49
117,B5
118,B20
119,F G63
120,C62 C64
121,E24
122,C90
123,C45
124,E8
125,B101
126,D45
127,C46
128,D30
129,E121
130,D11
131,E77
132,F38
133,B3
134,D6
135,B82 B84
136,D17
137,A36
138,B102
139,B69
140,E49
141,C47
142,D28
143,E17
144,A24
145,C50
146,B42
147,C148
